"bi-123",
"bi-activity",
"bi-airplane",
"bi-alarm",
"bi-alt",
"bi-app",
"bi-app-indicator",
"bi-archive",
"bi-arrow-clockwise",
"bi-arrow-counterclockwise",
"bi-arrow-down",
"bi-arrow-down-up",
"bi-arrow-left",
"bi-arrow-left-right",
"bi-arrow-repeat",
"bi-arrow-return-left",
"bi-arrow-return-right",
"bi-arrow-right",
"bi-arrows-angle-contract",
"bi-arrows-angle-expand",
"bi-arrows-collapse",
"bi-arrows-expand",
"bi-arrows-fullscreen",
"bi-arrows-move",
"bi-aspect-ratio",
"bi-back",
"bi-backspace",
"bi-bag",
"bi-balloon",
"bi-bandaid",
"bi-bank",
"bi-bar-chart",
"bi-basket",
"bi-battery",
"bi-battery-charging",
"bi-bell",
"bi-bell-slash",
"bi-bezier",
"bi-bicycle",
"bi-binoculars",
"bi-body-text",
"bi-book",
"bi-bookmark",
"bi-bookshelf",
"bi-boombox",
"bi-border",
"bi-box",
"bi-boxes",
"bi-braces",
"bi-bricks",
"bi-briefcase",
"bi-brightness-high",
"bi-brightness-low",
"bi-broadcast",
"bi-broadcast-pin",
"bi-brush",
"bi-bucket",
"bi-bug",
"bi-building",
"bi-buildings",
"bi-bullseye",
"bi-bus-front",
"bi-calculator",
"bi-calendar",
"bi-calendar-event",
"bi-calendar3",
"bi-camera",
"bi-camera-reels",
"bi-capslock",
"bi-capsule",
"bi-car-front",
"bi-card-checklist",
"bi-card-image",
"bi-card-text",
"bi-cart",
"bi-cash",
"bi-cash-coin",
"bi-cassette",
"bi-chat",
"bi-check",
"bi-check-circle",
"bi-check-all",
"bi-check2-square",
"bi-circle",
"bi-clipboard",
"bi-clock",
"bi-cloud",
"bi-cloud-download",
"bi-cloud-drizzle",
"bi-cloud-lightning",
"bi-cloud-sun",
"bi-cloud-upload",
"bi-clouds",
"bi-code",
"bi-collection",
"bi-compass",
"bi-cone",
"bi-credit-card",
"bi-crop",
"bi-cup",
"bi-cursor",
"bi-dash-circle",
"bi-database",
"bi-diagram-3",
"bi-diamond",
"bi-dice-5",
"bi-disc",
"bi-display",
"bi-door-closed",
"bi-door-open",
"bi-download",
"bi-droplet",
"bi-ear",
"bi-egg",
"bi-egg-fried",
"bi-eject",
"bi-envelope",
"bi-envelope-open",
"bi-envelope-paper",
"bi-eraser",
"bi-ev-front",
"bi-ethernet",
"bi-exclamation-circle",
"bi-exclamation-triangle",
"bi-eye",
"bi-eye-slash",
"bi-eyedropper",
"bi-eyeglasses",
"bi-fast-forward",
"bi-file",
"bi-file-bar-graph",
"bi-file-earmark",
"bi-files",
"bi-film",
"bi-filter",
"bi-fingerprint",
"bi-fire",
"bi-flag",
"bi-flower1",
"bi-folder",
